,UnitPriceMean,UnitPriceStd,TotalQuantity,NoOfUniqueItems,NoOfInvoices,UniqueItemsPerInvoice,QuantityPerInvoice,SpendingPerInvoice
0,4.134920634920632,2.559095022133658,505.0,44.0,5.0,12.6,101.0,250.53600000000006
1,3.2818666666666663,4.673614173361066,1719.0,50.0,4.0,18.75,429.75,655.1075000000001
3,6.790784313725488,6.478745817868534,472.0,41.0,7.0,7.285714285714286,67.42857142857143,282.88428571428574
4,1.8997520661157012,1.8365821802149762,1491.0,86.0,7.0,17.0,213.0,266.3942857142857
5,4.044117647058823,2.2886870112127866,442.0,15.0,4.0,4.25,110.5,465.42500000000007
6,2.672432432432433,2.202259552172522,12220.0,300.0,31.0,27.322580645161292,394.19354838709677,620.5493548387097
7,6.144736842105264,6.241458490895156,202.0,16.0,2.0,9.5,101.0,426.2
8,5.57142857142857,6.846158116227009,53.0,7.0,1.0,7.0,53.0,130.85
9,2.2847368421052643,1.290080590437885,14337.0,25.0,21.0,3.5714285714285716,682.7142857142857,1092.3499999999997
10,4.05122222222222,3.130388864733013,849.0,79.0,5.0,18.0,169.8,428.75600000000003
11,2.2070462633451946,2.130957069017327,18954.0,195.0,9.0,31.22222222222222,2106.0,2843.9377777777777
12,18.398999999999997,51.53484699156915,103.0,10.0,1.0,10.0,103.0,318.14000000000004
13,2.273082706766915,2.0022230752610386,4402.0,94.0,13.0,10.23076923076923,338.61538461538464,550.4376923076923
14,3.450550458715596,2.6696389112409604,1762.0,35.0,11.0,9.909090909090908,160.1818181818182,376.7109090909091
15,4.65,0.0,108.0,2.0,2.0,1.5,54.0,251.1
16,3.0773529411764704,1.8916423981733024,332.0,31.0,3.0,11.333333333333334,110.66666666666667,276.5133333333334
17,3.2349999999999994,2.9519275381479457,124.0,64.0,1.0,64.0,124.0,354.2299999999999
18,5.223684210526313,16.78780864975886,1836.0,85.0,8.0,11.875,229.5,564.845
19,1.2958333333333334,0.48600044091690753,564.0,33.0,2.0,18.0,282.0,343.79999999999995
20,3.38,2.897326353726829,487.0,4.0,3.0,1.6666666666666667,162.33333333333334,417.25
21,2.321518987341771,1.7801369067254742,868.0,74.0,2.0,39.5,434.0,635.28
22,2.8586956521739113,2.07184221120064,362.0,73.0,3.0,26.0,120.66666666666667,278.2699999999999
23,1.9733898305084747,1.7589471872347404,228.0,59.0,1.0,59.0,228.0,390.7899999999999
24,4.55,4.228947859692762,110.0,6.0,1.0,6.0,110.0,225.70000000000002
25,3.0742424242424247,2.2287931576065865,553.0,28.0,3.0,11.0,184.33333333333334,380.4166666666667
26,1.5676999999999992,1.551493593882778,19414.0,171.0,13.0,15.384615384615385,1493.3846153846155,1450.7215384615386
27,2.119624999999999,1.7164339274248777,694.0,57.0,3.0,25.666666666666668,231.33333333333334,379.45666666666665
28,3.1898360655737688,2.6504612754533117,775.0,35.0,8.0,7.625,96.875,178.50375
29,2.6404761904761904,2.2282848620067743,3537.0,32.0,6.0,7.0,589.5,1479.4899999999998
30,2.8357943925233617,2.048474829510501,663.0,66.0,7.0,15.285714285714286,94.71428571428571,228.23142857142858
31,0.805,0.36062445840513924,216.0,2.0,1.0,2.0,216.0,155.52000000000004
32,3.1466666666666674,3.697850727111628,220.0,9.0,2.0,4.5,110.0,204.75000000000006
33,2.475787278415019,2.4295503292381975,4113.0,689.0,56.0,16.714285714285715,73.44642857142857,109.80499999999999
34,2.76326923076923,2.4122081017386363,84.0,46.0,1.0,46.0,84.0,188.5599999999999
35,2.95,0.0,24.0,4.0,1.0,4.0,24.0,70.80000000000003
36,3.1335000000000006,3.1266465556903813,63.0,18.0,2.0,10.0,31.5,153.14499999999998
37,4.415555555555557,3.1285863864975467,94.0,9.0,1.0,9.0,94.0,301.24
38,2.9822641509433963,4.006767180230809,510.0,44.0,3.0,17.666666666666668,170.0,299.86000000000007
39,3.2762500000000006,3.2379890167109,113.0,44.0,1.0,44.0,113.0,274.92999999999995
40,4.380370370370372,4.286003590832231,171.0,27.0,2.0,13.5,85.5,196.45
41,3.6440476190476194,3.2784291743662326,578.0,33.0,2.0,21.0,289.0,634.065
42,1.62469387755102,1.7929337350415184,3582.0,79.0,2.0,73.5,1791.0,1893.5600000000004
